cat,2014,2015,2016,2017,2018,2019,2020,2021
0-1,8,9,5,13,13,14,6,8
1-2,6,3,13,11,9,23,12,4
2-3,2,3,5,5,11,19,18,12
3-4,1,0,2,7,6,6,11,10
4-5,0,0,2,0,5,6,5,9
5-6,0,1,1,5,3,1,2,1
6-7,0,0,1,0,0,1,2,3
7-8,0,0,0,0,0,0,0,0
8-9,0,0,0,1,0,0,0,3
9-10,0,0,0,0,0,0,0,0
10-11,0,0,0,0,0,0,0,0
11+,0,0,2,1,1,0,0,2
