"name","type"
"Goudriaan, A. E.","NA"
"Gramsbergen, J. B.","NA"
"Grandjean, P.","NA"
"Graumann, O.","NA"
"Greenberg, D. A.","NA"
"Griepke, S.","NA"
"Grontved, S.","NA"
"Grossman, R.","NA"
"Grupe, E.","NA"
"Grynderup, M. B.","NA"
"Guala, M. M.","ADULT"
"Gudex, C.","NA"
"Gudiksen, A.","NA"
"Guethmundsson, H. S.","NA"
"Guldager, R.","NA"
"Guler, D. B.","NA"
"Gyrd-Hansen, D.","NA"
"Halken, S.","NA"
"Hall, A.","NA"
"Hallas, J.","NA"
"Halle, B.","NA"
"Hamandi, K.","NA"
"Hannesdottir, H.","NA"
"Hansen, A. M.","NA"
"Hansen, J. P.","ADULT"
"Hansen, J. S.","NA"
"Hansen, M. R.","NA"
"Hansen, R. W.","NA"
"Hansen, S. G.","NA"
"Hanson, L. M.","NA"
"Harbo, F.","NA"
"Harder, S.","NA"
"Hasin, D. S.","NA"
"Haslund-Vinding, J.","NA"
"Hasselstrom, J.","NA"
"Hassiotis, A.","NA"
"Hauser, A. S.","NA"
"Hazo, J. B.","NA"
"Hell, M. E.","ADULT"
"Hemmingsen, S. D.","ADULT"
"Henriksen, D. P.","NA"
"Herrero, R.","NA"
"Hewitt-Ramirez, N.","NA"
"Hill, C. M.","NA"
"Hjaeresen, S.","NA"
"Hjorth, P.","ADULT"
"Hjorthoj, C.","NA"
"Hogh, A.","NA"
"Hohmann, S.","ADULT"
"Hoilund-Carlsen, P. F.","NON"
"Hojlund, M.","ADULT"
"Hollyer, T. R.","NA"
"Holmberg, T. T.","NA"
"Holsgaard-Larsen, A.","NA"
"Holtzmann, J.","NA"
"Homolak, J.","NA"
"Horn, C. G.","NA"
"Horslev-Petersen, K.","NA"
"Hosseini, L.","NA"
"Hounsgaard, L.","ADULT"
"Hulgaard, D.","BUP"
"Hundsholt, T.","NA"
"Husted, A.","NA"
"Hvid, L. G.","NA"
"Hvingelby, V. S.","NA"
"Hvolby, A.","BUP"
"Hybholt, L.","NA"
"Haagsma, J. A.","NA"
"Iachina, M.","NA"
"Ilieva, M.","ADULT"
"Illes, Z.","NON"
"Investigators,","NA"
"Ivanova, M. Y.","NA"
"Jacobsen, N.","NA"
"Jakobsen, E.","NA"
"Jander, A.","NA"
"Jankovic, I.","NA"
"Jedrzejewski, A.","NA"
"Jensen, A.","NA"
"Jensen, E.","NA"
"Jensen, E. S.","NA"
"Jensen, H. B.","NA"
"Jensen, N. A.","NA"
"Jensen, P. B.","NA"
"Jensen, R. C.","NA"
"Jensen, T. K.","NA"
"Jensen, T. S. R.","NA"
"Jensen, U.","NA"
"Jeppesen, P.","NA"
"Jepsen, J. R. M.","NA"
"Jessen, E. T.","NA"
"Johansen, K. K.","ADULT"
"Jorgensen, C.","NA"
"Jorgensen, L. B.","NA"
"Joshanloo, M.","NA"
"Juel, A.","NA"
"Juel, H.","NA"
"Kacprowski, T.","NA"
"Kamand, M.","ADULT"
"Kamionka, S. L.","NA"
"Kanbayashi, Y.","NA"
"Kaplan, Z. L. R.","NA"
"Karalexi, M. A.","NA"
"Karki, S.","NA"
"Karlsen, R. V.","NA"
"Karlsson, H.","NA"
"Kemmeren, L.","NA"
"Khodaii, J.","NA"
"Kirchheiner-Rasmussen, J.","NA"
"Kjaer, S. K.","NA"
"Kjeldsen, M. Z.","NA"
"Klausen, S. H.","NA"
"Klebe, S.","NA"
"Kleiboer, A.","NA"
"Klucken, J.","NA"
