"name","type"
"Emiliussen, Jakob","NA"
"Christiansen, Regina","NA"
"Hasandedic-Dapo, Lejla","NA"
"Engelsen, Søren","NA"
"Handberg, Charlotte","NA"
"Dreyer, Pia","NA"
"Theodorsdottir, A.","NA"
"Kräplin, Anja","NA"
"Kupka, Käthe Friederike","NA"
"Fröhner, Juliane H.","NA"
"Krönke, Klaus-Martin","NA"
"Wolff, Max","NA"
"Smolka, Michael N.","NA"
"Bühringer, Gerhard","ADULT"
"Goschke, Thomas","NA"
"Bischof, G.","NA"
"Hesse, M.","NA"
"Schmidt, S. I.","NA"
"Freude, K.","NA"
"Knudsen, L. V.","NA"
"Gazerani, P.","NA"
"Duan, Y.","NA"
"Spitz, A.","NA"
"Aebi, M.","NA"
"Walitza, S.","NA"
"Askgaard, G.","NA"
"Thiele, M.","NA"
"Sari, S.","ADULT"
"Korup, A. K.","ADULT"
