cat,2015,2016,2017,2018,2019,2020,2021
0-1,1,5,2,2,0,1,1
1-2,3,3,3,1,7,3,1
2-3,1,2,2,2,3,3,6
3-4,0,3,2,5,1,7,2
4-5,1,1,1,0,1,0,8
5-6,1,1,1,0,0,1,0
6-7,0,0,0,0,1,0,2
7+,0,0,0,0,0,0,0
